feeder,substation,voltage,summerrating,peakampscurr,pctratingcurr,peakampslast,pctratinglast,loadcurvehist,loadcurvefor,amp_rating_bin
36_01_2964,29 POTOMAC,"4,16",300,"373,67",124.56,275,91.67,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2964.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2964.csv,201-300
36_01_2965,29 POTOMAC,"4,16",300,140,46.67,"151,097",50.37,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2965.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2965.csv,201-300
36_01_2966,29 POTOMAC,"4,16",300,"98,33",32.78,"83,403",27.8,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2966.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2966.csv,201-300
36_01_2967,29 POTOMAC,"4,16",300,"230,33",76.78,"249,77",83.26,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2967.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2967.csv,201-300
36_01_2968,29 POTOMAC,"4,16",300,"229,67",76.56,"231,223",77.07,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2968.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2968.csv,201-300
36_01_2969,29 POTOMAC,"4,16",300,"94,33",31.44,"100,533",33.51,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2969.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2969.csv,201-300
36_01_2971,29 POTOMAC,"4,16",300,"170,67",56.89,"212,67",70.89,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2971.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2971.csv,201-300
36_01_2972,29 POTOMAC,"4,16",300,117,39,121,40.33,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2972.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2972.csv,201-300
36_01_2973,29 POTOMAC,"4,16",300,40,13.33,"40,077",13.36,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_2973.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_2973.csv,201-300
36_01_301151,TWO MILE CREEK STATION,"13,2",425,"17,67",4.16,0,0,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_301151.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_301151.csv,401-500
36_01_301152,TWO MILE CREEK STATION,"13,2",514,"56,67",11.03,0,0,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_301152.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_301152.csv,500+
36_01_301155,TWO MILE CREEK STATION,"13,2",425,46,10.82,0,0,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_301155.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_301155.csv,401-500
36_01_301156,TWO MILE CREEK STATION,"13,2",514,"36,67",7.13,0,0,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_301156.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_301156.csv,500+
36_01_3061,30 SPILLMAN,"4,16",266,"246,67",92.73,100,37.59,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3061.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3061.csv,201-300
36_01_3062,30 SPILLMAN,"4,16",266,125,46.99,150,56.39,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3062.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3062.csv,201-300
36_01_3063,30 SPILLMAN,"4,16",266,230,86.47,220,82.71,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3063.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3063.csv,201-300
36_01_3064,30 SPILLMAN,"4,16",266,130,48.87,120,45.11,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3064.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3064.csv,201-300
36_01_3065,30 SPILLMAN,"4,16",266,"206,67",77.7,"166,667",62.66,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3065.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3065.csv,201-300
36_01_3066,30 SPILLMAN,"4,16",266,"126,67",47.62,130,48.87,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3066.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3066.csv,201-300
36_01_3068,30 SPILLMAN,"4,16",266,"216,67",81.45,"133,333",50.13,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3068.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3068.csv,201-300
36_01_3069,30 SPILLMAN,"4,16",266,50,18.8,50,18.8,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3069.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3069.csv,201-300
36_01_3071,30 SPILLMAN,"4,16",266,180,67.67,"186,667",70.18,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3071.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3071.csv,201-300
36_01_3161,31 STATION 31,"4,16",266,"83,33",31.33,100,37.59,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3161.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3161.csv,201-300
36_01_3162,31 STATION 31,"4,16",266,50,18.8,50,18.8,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3162.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3162.csv,201-300
36_01_3163,31 STATION 31,"4,16",266,"116,67",43.86,"111,667",41.98,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3163.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3163.csv,201-300
36_01_3164,31 STATION 31,"4,16",266,"118,33",44.48,"128,333",48.25,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3164.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3164.csv,201-300
36_01_3165,31 STATION 31,"4,16",266,50,18.8,50,18.8,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3165.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3165.csv,201-300
36_01_3166,31 STATION 31,"4,16",266,"123,33",46.36,"136,667",51.38,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3166.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3166.csv,201-300
36_01_3167,31 STATION 31,"4,16",266,"146,67",55.14,"156,667",58.9,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3167.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3167.csv,201-300
36_01_3171,31 STATION 31,"4,16",266,"166,67",62.66,170,63.91,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3171.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3171.csv,201-300
36_01_3172,31 STATION 31,"4,16",266,135,50.75,170,63.91,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3172.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3172.csv,201-300
36_01_3173,31 STATION 31,"4,16",266,"88,33",33.21,"83,333",31.33,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3173.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3173.csv,201-300
36_01_3261,32 BAILEY,"4,16",266,120,45.11,80,30.08,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3261.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3261.csv,201-300
36_01_3262,32 BAILEY,"4,16",266,"166,67",62.66,"153,333",57.64,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3262.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3262.csv,201-300
36_01_3263,32 BAILEY,"4,16",266,30,11.28,60,22.56,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3263.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3263.csv,201-300
36_01_3264,32 BAILEY,"4,16",266,"116,67",43.86,60,22.56,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3264.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3264.csv,201-300
36_01_3267,32 BAILEY,"4,16",266,"153,33",57.64,"146,667",55.14,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3267.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3267.csv,201-300
36_01_3268,32 BAILEY,"4,16",266,"113,33",42.61,190,71.43,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3268.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3268.csv,201-300
36_01_3269,32 BAILEY,"4,16",266,80,30.08,"66,667",25.06,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3269.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3269.csv,201-300
36_01_3271,32 BAILEY,"4,16",266,"36,67",13.79,"66,667",25.06,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3271.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3271.csv,201-300
36_01_3272,32 BAILEY,"4,16",266,"156,67",58.9,190,71.43,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3272.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3272.csv,201-300
36_01_3273,32 BAILEY,"4,16",266,50,18.8,50,18.8,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3273.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3273.csv,201-300
36_01_3361,33 STATION 33,"4,16",266,"70,33",26.44,"69,577",26.16,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3361.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3361.csv,201-300
36_01_3362,33 STATION 33,"4,16",300,"185,67",61.89,"272,667",90.89,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3362.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3362.csv,201-300
36_01_3363,33 STATION 33,"4,16",266,190,71.43,"214,15",80.51,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3363.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3363.csv,201-300
36_01_3365,33 STATION 33,"4,16",266,"64,33",24.18,"64,36",24.2,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3365.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3365.csv,201-300
36_01_3366,33 STATION 33,"4,16",266,134,50.38,"133,933",50.35,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3366.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3366.csv,201-300
36_01_3367,33 STATION 33,"4,16",266,"44,67",16.79,"44,723",16.81,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3367.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3367.csv,201-300
36_01_3369,33 STATION 33,"4,16",266,"105,33",39.6,"105,317",39.59,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3369.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3369.csv,201-300
36_01_3371,33 STATION 33,"4,16",266,"90,67",34.09,"0,16",0.06,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3371.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3371.csv,201-300
36_01_3372,33 STATION 33,"4,16",266,"78,67",29.58,"142,367",53.52,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3372.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3372.csv,201-300
36_01_3461,34 BEST ST.,"4,16",274,"107,67",39.3,"101,287",36.97,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3461.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3461.csv,201-300
36_01_3462,34 BEST ST.,"4,16",273,"83,33",30.52,"0,01",0,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3462.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3462.csv,201-300
36_01_3463,34 BEST ST.,"4,16",272,"128,67",47.31,"123,39",45.36,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3463.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3463.csv,201-300
36_01_3465,34 BEST ST.,"4,16",255,"19,33",7.58,"19,563",7.67,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3465.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3465.csv,201-300
36_01_3466,34 BEST ST.,"4,16",259,135,52.12,"136,81",52.82,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3466.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3466.csv,201-300
36_01_3467,34 BEST ST.,"4,16",251,48,19.12,"53,877",21.46,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3467.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3467.csv,201-300
36_01_3468,34 BEST ST.,"4,16",246,"84,67",34.42,"54,217",22.04,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3468.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3468.csv,201-300
36_01_3469,34 BEST ST.,"4,16",256,"40,67",15.89,"42,24",16.5,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3469.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3469.csv,201-300
36_01_3472,34 BEST ST.,"4,16",256,"94,67",36.98,"100,243",39.16,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3472.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3472.csv,201-300
36_01_3561,35 WALDEN,"4,16",282,"113,33",40.19,"133,333",47.28,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3561.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3561.csv,201-300
36_01_3562,35 WALDEN,"4,16",279,"78,33",28.08,"78,333",28.08,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3562.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3562.csv,201-300
36_01_3563,35 WALDEN,"4,16",283,100,35.34,100,35.34,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3563.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3563.csv,201-300
36_01_3564,35 WALDEN,"4,16",266,80,30.08,80,30.08,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3564.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3564.csv,201-300
36_01_3565,35 WALDEN,"4,16",267,90,33.71,90,33.71,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3565.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3565.csv,201-300
36_01_3566,35 WALDEN,"4,16",271,110,40.59,110,40.59,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3566.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3566.csv,201-300
36_01_3567,35 WALDEN,"4,16",277,170,61.37,170,61.37,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3567.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3567.csv,201-300
36_01_3568,35 WALDEN,"4,16",260,50,19.23,50,19.23,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3568.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3568.csv,201-300
36_01_3569,35 WALDEN,"4,16",210,100,47.62,"113,333",53.97,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3569.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3569.csv,201-300
36_01_3572,35 WALDEN,"4,16",205,50,24.39,50,24.39,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3572.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3572.csv,201-300
36_01_3573,35 WALDEN,"4,16",210,"103,33",49.2,100,47.62,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3573.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3573.csv,201-300
36_01_3661,36 SUMNER PL,"4,16",274,143,52.19,"158,73",57.93,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3661.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3661.csv,201-300
36_01_3662,36 SUMNER PL,"4,16",298,93,31.21,"211,687",71.04,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3662.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3662.csv,201-300
36_01_3663,36 SUMNER PL,"4,16",280,"178,67",63.81,174,62.14,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3663.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3663.csv,201-300
36_01_3664,36 SUMNER PL,"4,16",257,"124,67",48.51,"129,733",50.48,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3664.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3664.csv,201-300
36_01_3665,36 SUMNER PL,"4,16",255,"116,33",45.62,"123,1",48.27,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3665.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3665.csv,201-300
36_01_3666,36 SUMNER PL,"4,16",259,62,23.94,"46,66",18.02,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3666.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3666.csv,201-300
36_01_3667,36 SUMNER PL,"4,16",255,"132,67",52.03,"202,16",79.28,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3667.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3667.csv,201-300
36_01_3668,36 SUMNER PL,"4,16",254,"131,67",51.84,"139,213",54.81,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3668.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3668.csv,201-300
36_01_3671,36 SUMNER PL,"4,16",255,85,33.33,"86,667",33.99,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3671.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3671.csv,201-300
36_01_3672,36 SUMNER PL,"4,16",257,"175,33",68.22,"197,043",76.67,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3672.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3672.csv,201-300
36_01_3673,36 SUMNER PL,"4,16",260,"43,33",16.67,"46,323",17.82,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3673.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3673.csv,201-300
36_01_3761,37 HUDSON AVE,"4,16",300,"218,67",72.89,"242,753",80.92,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3761.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3761.csv,201-300
36_01_3762,37 HUDSON AVE,"4,16",300,145,48.33,"154,56",51.52,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3762.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3762.csv,201-300
36_01_3764,37 HUDSON AVE,"4,16",300,"109,33",36.44,"113,43",37.81,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3764.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3764.csv,201-300
36_01_3765,37 HUDSON AVE,"4,16",300,"148,67",49.56,"133,127",44.38,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3765.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3765.csv,201-300
36_01_3766,37 HUDSON AVE,"4,16",300,"103,33",34.44,"115,133",38.38,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3766.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3766.csv,201-300
36_01_3768,37 HUDSON AVE,"4,16",300,168,56,"181,847",60.62,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3768.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3768.csv,201-300
36_01_3769,37 HUDSON AVE,"4,16",300,"133,33",44.44,"98,703",32.9,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3769.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3769.csv,201-300
36_01_3771,37 HUDSON AVE,"4,16",300,"198,67",66.22,"145,303",48.43,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3771.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3771.csv,201-300
36_01_3772,37 HUDSON AVE,"4,16",300,53,17.67,"57,853",19.28,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3772.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3772.csv,201-300
36_01_3773,37 HUDSON AVE,"4,16",300,"182,33",60.78,"201,733",67.24,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3773.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3773.csv,201-300
36_01_3861,38 SPRING,"4,16",248,10,4.03,"66,667",26.88,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3861.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3861.csv,201-300
36_01_3862,38 SPRING,"4,16",237,"166,67",70.32,"83,333",35.16,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3862.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3862.csv,201-300
36_01_3863,38 SPRING,"4,16",248,150,60.48,"166,667",67.2,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3863.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3863.csv,201-300
36_01_3864,38 SPRING,"4,16",227,"183,33",80.76,150,66.08,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3864.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3864.csv,201-300
36_01_3866,38 SPRING,"4,16",223,160,71.75,160,71.75,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3866.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3866.csv,201-300
36_01_3867,38 SPRING,"4,16",233,100,42.92,50,21.46,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3867.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3867.csv,201-300
36_01_3868,38 SPRING,"4,16",200,100,50,"46,91",23.46,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3868.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3868.csv,101-200
36_01_3869,38 SPRING,"4,16",300,"216,67",72.22,200,66.67,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3869.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3869.csv,201-300
36_01_3871,38 SPRING,"4,16",229,"166,67",72.78,"166,667",72.78,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3871.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3871.csv,201-300
36_01_3872,38 SPRING,"4,16",209,10,4.78,"120,977",57.88,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3872.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3872.csv,201-300
36_01_3873,38 SPRING,"4,16",219,7,3.2,"52,897",24.15,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3873.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3873.csv,201-300
36_01_3961,39 WILLIAM,"4,16",284,110,38.73,"68,067",23.97,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3961.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3961.csv,201-300
36_01_3962,39 WILLIAM,"4,16",283,"82,33",29.09,"83,77",29.6,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3962.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3962.csv,201-300
36_01_3963,39 WILLIAM,"4,16",285,"122,33",42.92,"86,1",30.21,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_3963.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_3963.csv,201-300
